ExhibitId, Name, Price, DatePurchased
1,Cymbalum (Western European hammered dulcimer),110.1,2001/03/30
2,Cimbalom (Eastern European hammered dulcimer),789.8,2006/05/27
3,Saung (Burmese harp),646.1,1997/01/27
4,Shofar (Jewish horn),251.9,2000/09/28
5,Vihuela (Spanish 2-string guitar),851.7,1999/01/23
6,Classical guitar,589.2,1998/01/12
7,Drum machine,91.6,2003/08/20
8,Dahu (Chinese bowed stringed instrument),118.0,1999/02/23
9,Saw sam sai (Thai bowed stringed instrument),227.9,1994/01/16
10,Jiaohu (Chinese bowed stringed instrument),220.4,2007/05/10
11,Erhu (Chinese violin),689.6,2003/02/27
12,Fangxiang (Chinese metallophone),832.5,2013/02/09
13,Khim (Cambodian/ Thai hammered dulcimer),519.9,2012/08/19
14,Knatele (Finnish zither),669.3,2010/04/21
15,Palendang (Philippine flute),397.4,1997/09/02
16,Natural Trumpet,540.7,2016/07/23
17,Japanese Bamboo Flute/ Shakuhachi ,879.7,2009/08/04
18,Sarrusophone,741.2,2005/12/04
19,Sheng (Chinese mouth organ),432.9,2008/12/18
20,Violotta,989.6,2001/09/04
21,Sampler,357.1,2003/07/28
22,Cabrette (French bagpipe),545.4,2010/02/08
23,Xiao (Chinese flute),900.0,2017/07/22
24,Contra-alto flute,974.0,2014/09/08
25,Ney (Lebanese Flute),482.9,1995/08/03
26,Setar (Iranian lute),854.8,2016/08/25
27,Oboe d’amore,885.4,2016/04/09
28,Gaida (Southern Balkan bagpipes),868.6,1997/08/14
29,Gugin (Chinese bridgeless zither),130.4,1998/07/25
30,Angklung (tuned bamboo slide rattle),206.1,2014/07/23
31,Bayan (Russian Accordion),308.5,2015/11/08
32,Classical guitar,972.6,2006/07/13
33,Komungo (Korean zither),911.2,2013/12/12
34,Fangxiang (Chinese metallophone),188.1,2009/11/11
35,Tuhu (Chinese bowed stringed instrument),219.3,1996/07/04
36,Washtub bass,66.5,1995/10/30
37,Yang Chin (Chinese hammered dulcimer),56.6,2009/08/24
38,Recorder (Descant),945.1,2010/03/23
39,Guan (Chinese pipe),158.8,2013/02/05
